ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop
AFG,AFGHANISTAN,0.8810639533711614,1.7621529322826375,1946,0,0.010101010101010102,0.26373547486727605,0.787878787878788
ARG,ARGENTINA,-0.4669489534137872,-0.04922828196079779,1946,1,0.6666666666666667,0.8687662746567771,0.797979797979798
AUS,AUSTRALIA,-0.3914621115823439,-0.18512783590003704,1946,3,0.9393939393939394,0.9212121405832422,0.6767676767676768
BEL,BELGIUM,-0.43859253999821846,-0.49353771049298684,1946,3,0.9090909090909092,0.8686868686868687,0.5279440265329193
BLR,BELARUS,1.6627857134160855,-1.2371339799617116,1946,2,0.5454545454545455,0.5151515151515152,0.43434343434343436
BOL,BOLIVIA,-0.40087952925620884,-0.050856689887144764,1946,1,0.3434343434343435,0.45494537479854175,0.5356501715748979
BRA,BRAZIL,-0.5206884871391924,-0.10984633010584488,1946,1,0.5926450743543141,0.9494949494949496,0.9595959595959597
CAN,CANADA,-0.5877244950441276,-0.5222634085638007,1946,3,0.8989898989898991,0.9393939393939394,0.7777777777777778
CHL,CHILE,-0.1211946489535399,-0.01426604259469276,1946,1,0.696969696969697,0.7272727272727273,0.6262626262626263
CHN,CHINA,-0.3997948129223106,-0.5152788473789894,1946,3,0.636363636363603,0.98989898989899,0.98989898989899
COL,COLOMBIA,0.9401581978682245,1.6328021602699425,1946,0,0.5151515151515152,0.7474747474747475,0.8308215905882168
CRI,COSTA RICA,-0.5108807607810152,0.2979280639561973,1946,1,0.686868686868687,0.5757575757575758,0.2984380801970379
CSK,CZECHOSLOVAKIA,1.2537540388611188,1.3613776502388357,1946,0,,,
CUB,CUBA,-0.6179889032123623,-0.31324035644498543,1946,1,0.583932522784131,0.6041273477587553,0.5004690310730107
DNK,DENMARK,-0.4344877309586656,-0.339455920932756,1946,3,0.9418707557339205,0.787878787878788,0.35465133659955655
DOM,DOMINICAN REPUBLIC,-0.46290793748535014,-0.36507290115949237,1946,3,0.5987034312599789,0.6281296639896008,0.5050505050505051
ECU,ECUADOR,0.6661978859203596,1.2969550956042484,1946,0,0.494949494949495,0.6262626262626263,0.5858585858585859
EGY,EGYPT,-0.4501390412929554,0.14190993278671962,1946,1,0.3211742359941483,0.7676767676767677,0.9191919191919192
ETH,ETHIOPIA,-0.29531539314453314,0.03925716665089655,1946,1,0.15151515151515152,0.6464646464646465,0.9393939393939394
FRA,FRANCE,-0.19047041257270692,-0.4136903881048534,1946,3,0.8585858585858587,0.9595959595959597,0.8686868686868687
GBR,UNITED KINGDOM,-0.6482081700390545,-0.5273491970200649,1946,3,0.8787878787878789,0.9696969696969697,0.8787878787878789
GRC,GREECE,-0.5736514699141876,-0.4791779072922225,1946,3,0.7676767676767677,0.6767676767676768,0.4646464646464647
GTM,GUATEMALA,-0.33966951359822,0.06498802546312077,1946,1,0.4545454545454546,0.595959595959596,0.5976583607080117
HND,HONDURAS,-0.6523301529777682,-0.23167785451932957,1946,1,0.31313131313131315,0.4173392615968784,0.494949494949495
