Topic,Top Terms,AI-related Terms Count
775,"failure, failures, fail, failed, failings, doomed, failing, unsuccessful, soldiered, morally",6
3387,"ai, artificial, intelligence, generative, frontier, bots, risks, technologies, taskforce, computing",6
268,"sustainable, development, lászló, attainment, concept, hailing, attaining, model, stymie, disciplines",5
921,"cleansing, ethnic, crimes, ethnically, humanity, cleansed, cleanse, cleansers, cleansings, classifiable",5
2122,"acknowledgement, acknowledge, acknowledged, grudgingly, curiosity, 135, plain, humbly, corrected, unambiguous",5
2391,"hammarskjöld, dag, hammarskj, ld, hammarskjold, rolf, hammarskjild, memoriam, 115th, hammarskjld",5
2802,"failed, failure, fail, failures, ironically, elude, peak, denounced, community, fails",5
35,"states, state, failing, powerful, failed, weaker, obligations, individual, accede, failure",4
260,"mdgs, mdg, attainment, achieving, track, attain, achieve, attaining, raiser, minima",4
379,"renewable, energy, sources, solar, renewables, clean, efficiency, wind, energies, usage",4
680,"uncertainty, uncertainties, uncertain, unease, cloud, relapsed, shrouding, fraught, denotes, vagueness",4
911,"chairmanship, chairman, chairpersons, chairperson, mp, rotating, mumtazuddin, ahsanullah, gasana, rudd",4
1037,"mountain, mountains, mountainous, terrain, pankisi, gorge, caucasian, peaks, ranges, ecosystems",4
1397,"awareness, raising, raise, campaigns, replant, retraining, public, sensitizing, grounded, revolutionize",4
1556,"osce, chairmanship, unomig, cataloguing, bulgariaís, polarisation, chair, organizing, cica, examining",4
1597,"empowerment, entailing, 107, constraint, advancement, pulling, yielding, keys, motivation, mainstreaming",4
1732,"biofuels, bio, biofuel, fuels, biodiesel, rush, ethanol, gasohol, jatropha, agrofuels",4
1804,"irrigation, farming, repaired, techniques, dams, agriculture, genetics, canals, drip, water",4
1902,"fuel, fuelling, gasoline, refuelling, prices, cycle, fuels, taxes, speculation, depleting",4
2131,"restraint, exercise, maximum, utmost, inhabitation, refrain, restrains, decorum, exercised, maximal",4
2696,"technology, technologies, innovations, advanced, technologically, commissioned, technological, diversifying, relieve, link",4
2810,"genetic, genome, engineering, genetically, nagoya, biotechnology, code, modified, transgenic, biomedical",4
2836,"droughts, rains, floods, rainfall, rainy, rain, season, drought, monsoons, winter",4
2967,"uncertainty, uncertainties, uncertain, contextual, tumbling, dampened, windward, curve, familiarity, unease",4
3033,"network, chairmanship, chair, chairs, rotating, co, interregional, chairperson, invitation, greek",4
3226,"marshallese, marshall, petitioned, marshalls, marshalling, 1954, announce, reiterating, visited, returned",4
4900,"accord, copenhagen, contains, delicate, deliver, sensitive, contain, seize, contained, pledges",4
5103,"networks, network, choking, plotting, draining, organize, organizational, finance, finances, forged",4
5194,"committee, chairmanship, chairman, executive, chaired, steering, chair, honourable, igad, allocated",4
5207,"organs, organ, principal, occupies, empowered, mandated, ensures, organization, merely, nor",4
5455,"purposes, technologies, technology, peaceful, containing, filled, supervision, harness, solely, advancement",4
6152,"ecology, dictated, justice, competitive, sustainability, forge, equity, empowerment, model, sustainable",4
40,"organization, effectiveness, organizational, embodies, capable, organizations, objectives, functioning, evolve, role",3
73,"haiti, haitian, haitians, dominican, gangs, sister, communes, owes, cubic, elections",3
75,"scientific, technological, science, technology, technologies, scientists, advances, innovations, discoveries, research",3
121,"azerbaijan, azerbaijani, baku, azerbaijanis, territories, occupied, artsakh, heydar, aliyev, renovated",3
128,"energy, sources, energies, efficiency, alternative, clean, supplies, diversification, supply, affordable",3
146,"peace, security, maintenance, maintaining, dissociated, glass, lasting, maintain, questions, indispensible",3
194,"transit, transport, transportation, railways, destination, corridors, rail, origin, railroad, corridor",3
228,"ukraine, ukrainian, ukrainians, integrity, territorial, sponsors, eubam, peasantry, emotional, counteracts",3
239,"pledges, pledge, pledged, disbursement, redeem, solemn, disbursed, staked, honour, made",3
