Country,Session,Year,Sentence,Country Name,Topic,Topic Name
BRB,73,2018,"I repeat, it led to two world wars and an atomic bomb",Barbados,0,Nuclear Weapons
IND,73,2018,"If we wish to save the world from the adverse effects of climate change, the developed nations must lift up the deprived with financial and technical resources",India,11,Climate Change and Renewable Energy
IND,73,2018,"If that goal is achieved, we will be witness to a major revolution in the energy sector, which will represent a major milestone in combating all phenomena related to climate change",India,11,Climate Change and Renewable Energy
SWE,73,2018,"We are witnessing a deeply worrisome nuclear renaissance, with vast modernizations of nuclear arsenals underway",Sweden,0,Nuclear Weapons
SWE,73,2018,The framework of the Treaty on the Non-Proliferation of Nuclear Weapons is ideally suited for such efforts,Sweden,0,Nuclear Weapons
EST,73,2018,We want to offer our perspective so as to ensure that human beings remain safe in this new world where cyberrelated threats are combined with conventional ones,Estonia,19,Cyberattacks and Offensive Cyber
EST,73,2018,New technologies should always be seen as enablers,Estonia,8,General Emerging Technologies
EST,73,2018,No new technology can thrive in a fragmented world,Estonia,17,Technology Capacity Building
MDG,73,2018,"We  have  seen  a significant increase in clean and renewable energy, especially in the form of hydroelectric power plants and photovoltaic power plants, to mention only what has just been handed over to the people of Ambatolampy and Ambohipihaonana in June",Madagascar,11,Climate Change and Renewable Energy
BTN,73,2018,"Climate change resulting from global warming and human activity is a serious threat not only to humankind, but also to sustainable development",Bhutan,11,Climate Change and Renewable Energy
BTN,73,2018,"The impacts  of climate change affect poorer countries and people disproportionately, as they are not able to adapt or  deal with its impacts",Bhutan,11,Climate Change and Renewable Energy
BTN,73,2018,"Since mitigating climate change means reducing greenhouse-gas emissions, which are caused by the consumption of energy in all economic and household activities, it affects everyone and  is tied to economic and energy-security issues",Bhutan,11,Climate Change and Renewable Energy
NOR,73,2018,"At the same time, security is closely linked to sustainable development",Norway,10,Energy Security
NOR,73,2018,Health is an area where it is easy to see that the SDGs apply to us all,Norway,14,Health Technology
NOR,73,2018,The World Health Organization is working to create a global action plan for a simpler health architecture,Norway,14,Health Technology
NOR,73,2018,We will highlight the consequences of climate change and the links between security and sustainable development,Norway,11,Climate Change and Renewable Energy
NRU,73,2018,Capacity and resource constraints are the only things holding us back,Nauru,17,Technology Capacity Building
NRU,73,2018,Financial and capacity-building resources need to be made more accessible for our capacity-constrained countries,Nauru,17,Technology Capacity Building
ALB,73,2018,We support all the actions taken by the international actors to end the conflict and stop the use of chemical weapons,Albania,2,Chemical Weapons
ALB,73,2018,"Finally, I would like to address the issue of climate change, which affects every country and continent",Albania,11,Climate Change and Renewable Energy
ALB,73,2018,It is quite clear that the consequences of climate change are moving faster than we are,Albania,11,Climate Change and Renewable Energy
IDN,73,2018,The 2030 Agenda for Sustainable Development and the Paris Agreement on Climate Change are but two obvious examples,Indonesia,11,Climate Change and Renewable Energy
