Topic,Top Terms
6,"humanitarian, aid, assistance, intervention, crises, rescue, workers, catastrophe, disaster, emergency"
11,"states, interstate, state, failing, failed, powerful, individual, relations, partition, accede"
26,"council, security, councils, composition, fails, structure, reflect, seized, spv7272, mandate"
40,"nations, comity, play, role, attainment, plays, machinery, fork, act, involvement"
48,"mdgs, mdg, achievement, targets, deadline, 2015, postmdg, attainment, achieving, target"
81,"taiwan, taiwans, china, taiwanese, republic, chinese, participate, chinas, player, invited"
84,"commitments, undertaken, translate, contained, fulfilled, entered, made, fulfil, concrete, fulfilment"
89,"rule, law, laws, ordinances, consolidation, adherence, prevails, lawandorder, governed, ruleoflaw"
103,"secretarygeneral, secretarygenerals, secretary, commend, pointed, rightly, staff, said, emphasized, stated"
111,"haiti, haitian, haitis, haitians, sister, owes, cubic, pledged, caravan, 1804"
116,"charter, purposes, charters, principles, enshrined, provisions, embodied, undergird, envisaged, contained"
127,"kenya, nairobi, kenyan, kenyas, kenyans, unhabitat, kenyatta, unep, uhuru, naivasha"
134,"hivaids, aids, hiv, pandemic, infected, infection, prevalence, epidemic, hivpositive, spread"
136,"scourge, scourges, eradicate, combat, combating, eliminate, fight, contain, afflicting, terrible"
137,"azerbaijan, azerbaijani, azerbaijans, territories, azerbaijanis, occupied, renovated, asan, gdp, tripled"
142,"relations, relationship, relationships, friendly, interpersonal, interrelationships, cordial, beneficial, maintains, close"
150,"egypt, egyptian, egypts, egyptians, cairo, suez, tahrir, citizenship, morsi, discourse"
156,"pacific, pacification, pacifics, rim, plan, region, asiapacific, neighbours, cairns, leaders"
160,"asean, southeast, aseans, asian, association, indopacific, fivepoint, centrality, myanmar, chairmanship"
171,"my, country, attaches, countrys, importance, countrymen, convinced, supports, devotes, fairest"
175,"argentina, argentine, argentinas, amia, argentines, buenos, aires, israelita, 1994, interpol"
185,"maintenance, peace, security, maintaining, quest, statecentred, peacesecurity, indispensible, maintain, consolidating"
197,"goals, goal, goalposts, targets, lofty, set, achievement, realization, mixed, attainment"
202,"resources, resource, available, additional, requisite, scarce, adequate, limited, channelled, necessary"
204,"tunisia, tunisian, tunisias, tunis, tunisians, essebsi, egypt, 1987, caid, november"
205,"dignity, person, beings, innate, human, worth, inherent, encroach, regain, intrinsic"
209,"tragedy, tragic, tragedies, events, tragically, terrible, heartbreaking, sad, befall, daily"
220,"ukraine, ukraines, ukrainian, ukrainians, nonbloc, integrity, territorial, initiators, budapest, kravchuk"
222,"growth, sustained, economic, rate, rapid, reinvigorating, steady, unexercised, gdpled, indulgent"
227,"goals, objectives, development, targets, approaching, couch, agreed, goal, measurable, constrained"
229,"sustainable, development, promotion, assuring, achievement, achieving, taps, attainment, signaled, concept"
230,"2030, 701, agenda, sustainable, goals, transform, push, 169, behind, 17"
234,"objectives, objective, attain, attainment, realization, desired, accomplish, lofty, achieve, achieved"
250,"sdgs, sdg, 2030, goals, voluntary, sustainable, 17, implementation, accelerate, agenda"
253,"lucia, saint, lucias, joins, caricom, hemisphere, laments, derek, acknowledges, estate"
255,"island, small, developing, states, citizenshipbyinvestment, microisland, islandspecific, dangles, raindrops, idiosyncratic"
266,"paraguay, paraguayan, paraguays, paraguayans, itaipu, guarani, bastos, reaffirms, roa, augusto"
269,"suffering, sufferings, pain, longsuffering, untold, suffer, alleviating, alleviate, wheelchair, suffered"
276,"tension, tensions, hotbeds, easing, defuse, defusing, aggravation, interfaith, hotspots, persist"
278,"capacitybuilding, capacity, capacities, absorption, technical, constraints, building, capacitybuilders, assistence, compartmentalization"
281,"spain, spains, spanish, spaniards, poblet, port, valencia, iberian, crdoba, quart"
285,"plan, plans, planning, action, triple, detailed, implementation, implementable, 10year, master"
286,"independence, independent, 1975, 1980, regained, postindependence, gained, 1968, since, nationhood"
287,"fear, fears, anxiety, panic, afraid, mistrust, allay, dispel, anxious, unease"
288,"initiatives, undertaken, noteworthy, commendable, graced, aimed, launched, propositions, calibrated, vertical"
291,"growth, grow, growing, sustained, grows, rates, dynamically, quantitative, grown, promoing"
292,"justice, truth, restorative, domineering, prevails, demanding, commands, impartial, retributive, liberality"
300,"instruments, instrument, trumpet, summons, available, irreplaceable, valuable, objectionable, steelpan, plummeting"
301,"kuwait, kuwaits, kuwaiti, invasion, state, emphasizes, welcomes, iraqs, 1990, renews"
306,"union, african, unions, unionunited, birth, launching, thirteenth, muna, conomique, montaire"
309,"panama, panamanians, panamanian, panamas, pueblapanama, canal, isthmus, connectivity, pages, air"
322,"experience, experiences, gained, share, exchanging, knowledge, sharing, shows, shown, duplicated"
331,"ukraine, russias, russia, crimea, ukraines, ukrainian, aggression, minsk, russian, invasion"
336,"results, mixed, yield, encouraging, yielded, obtained, positive, produced, yielding, desired"
343,"price, costs, prices, cost, paid, affordable, pay, expensive, costly, heavy"
